country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",15-01-2026 12:00,28.802625,78.753728,CO,43,80,77
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",15-01-2026 12:00,29.4723508,77.7194031,NO2,41,96,66
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",15-01-2026 12:00,28.5447608,77.3231257,OZONE,11,119,18
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB",15-01-2026 12:00,28.5898,77.3101,NO2,16,19,17
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",15-01-2026 12:00,29.2124114,78.9611753,PM2.5,NA,NA,NA
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",15-01-2026 12:00,23.685297,86.945968,PM2.5,63,185,112
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",15-01-2026 12:00,23.685297,86.945968,PM10,62,124,99
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",15-01-2026 12:00,23.685297,86.945968,CO,28,75,58
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",15-01-2026 12:00,23.697936,86.944395,CO,10,64,43
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",15-01-2026 12:00,26.8458805,80.9365541,CO,17,116,60
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",15-01-2026 12:00,28.9535882,77.7622941,CO,34,101,55
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",15-01-2026 12:00,29.06351,77.709723,PM10,122,361,202
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",15-01-2026 12:00,22.58157048,88.41002457,OZONE,14,42,21
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",15-01-2026 12:00,22.627847,88.380669,NO2,56,165,107
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",15-01-2026 12:00,22.5448082,88.3403691,PM2.5,138,318,229
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",15-01-2026 12:00,22.5448082,88.3403691,NO2,31,46,39
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",15-01-2026 12:00,16.5150833,80.5181667,SO2,3,64,14
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",15-01-2026 12:00,14.675886,77.593027,OZONE,5,23,11
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",15-01-2026 12:00,13.20488,79.097889,PM10,61,115,80
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",15-01-2026 12:00,13.20488,79.097889,NH3,5,6,5
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",15-01-2026 12:00,14.465052,78.824187,NO2,20,29,21
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",15-01-2026 12:00,14.465052,78.824187,SO2,11,19,18
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",15-01-2026 12:00,16.9872867,81.7363176,PM10,92,139,113
India,Assam,Silchar,"Tarapur, Silchar - PCBA",15-01-2026 12:00,24.82827,92.79525,OZONE,2,3,2
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",15-01-2026 12:00,26.987634,94.636574,NO2,28,44,34
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",15-01-2026 12:00,26.146529,87.454184,SO2,1,21,11
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",15-01-2026 12:00,26.146529,87.454184,CO,1,34,18
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",15-01-2026 12:00,26.146529,87.454184,OZONE,10,10,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",15-01-2026 12:00,25.5626095,84.663264,NO2,6,9,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",15-01-2026 12:00,25.5626095,84.663264,OZONE,7,8,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",15-01-2026 12:00,24.75746,84.366208,PM10,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",15-01-2026 12:00,24.792403,84.992416,OZONE,1,61,25
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",15-01-2026 12:00,24.762518,84.982348,PM2.5,59,82,68
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",15-01-2026 12:00,24.762518,84.982348,CO,12,55,40
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",15-01-2026 12:00,25.560083,87.553265,PM10,65,129,93
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",15-01-2026 12:00,25.560083,87.553265,CO,63,101,74
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",15-01-2026 12:00,26.0881305,87.93840336,SO2,5,9,7
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",15-01-2026 12:00,16.554731,80.64911,NO2,21,27,26
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",15-01-2026 12:00,16.554731,80.64911,CO,42,101,42
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",15-01-2026 12:00,17.72,83.3,PM2.5,105,332,232
